method,controller_type,dwa_horizon,dwa_beam_width,dwa_replan_each_step,dwa_continue_after_first_success,model_path,training_steps,episodes,successes,success_rate,collision_rate,avg_steps_to_goal,std_steps_to_goal,avg_steps_all,std_steps_all,avg_wall_time_sec,std_wall_time_sec,total_wall_time_sec,decision_calls,avg_decision_time_sec,std_decision_time_sec,total_decision_time_sec,decision_time_per_step_sec,avg_reward,std_reward
H=4 B=32 seq,DWA,4,32,0,0,,,100,100,1.0,0.0,35.41,15.543548500905448,35.41,15.543548500905448,0.1111587568799223,0.05013440073760843,11.11587568799223,924,0.011938385990224442,0.0028641418671964034,11.031068654967385,0.003115241077370061,28.95780819151621,9.468581683078218
H=4 B=1024 seq,DWA,4,1024,0,0,,,100,100,1.0,0.0,34.73,15.333528621944788,34.73,15.333528621944788,1.6976771668798392,0.783383559219408,169.76771668798392,907,0.18697797304741134,0.05355576629952967,169.5890215540021,0.048830700130723326,29.01488993818624,9.457195025043301
H=4 B=full seq,DWA,4,full,0,0,,,100,100,1.0,0.0,34.73,15.333528621944788,34.73,15.333528621944788,2.778548973959805,1.2866995132136594,277.8548973959805,907,0.30618150060421445,0.08930698111338896,277.7066210480225,0.07996159546444645,29.01488993818624,9.457195025043301
