,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size_pow,params_clip_range,params_ent_coef,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps_pow,params_net_arch,params_one_minus_gae_lambda,params_one_minus_gamma,user_attrs_batch_size,user_attrs_gamma,user_attrs_n_steps,state
21,21,-7.9309228,2025-11-16 20:13:11.567110,2025-11-16 20:17:15.038303,0 days 00:04:03.471193,tanh,9,0.1,0.0006046513345608288,6.537540257473398e-05,0.6866614594953736,20,7,small,0.011517387521733527,0.02869795028822689,512,0.9713020497117731,128,COMPLETE
22,22,-5.7704390000000005,2025-11-16 20:15:46.863237,2025-11-16 20:20:09.417101,0 days 00:04:22.553864,tanh,7,0.1,1.5690672268716107e-06,0.0001999241822795883,1.3560815906467878,20,9,medium,0.004550780869670744,0.0004308636431332354,128,0.9995691363568667,512,COMPLETE
23,23,-7.8741556,2025-11-16 20:17:15.039081,2025-11-16 20:26:23.710786,0 days 00:09:08.671705,tanh,5,0.2,2.1902542814562482e-05,0.0009324323866567519,0.5466878515111949,20,7,medium,0.013577911543757933,0.00016263017007466798,32,0.9998373698299253,128,PRUNED
24,24,11.6197818,2025-11-16 20:17:15.900888,2025-11-16 20:33:26.979739,0 days 00:16:11.078851,tanh,4,0.1,0.0005324634962608837,0.00026670285826927803,1.9889344849743318,20,9,medium,0.00027642925540187225,0.002611994292003811,16,0.9973880057079962,512,COMPLETE
25,25,-2.8885384000000003,2025-11-16 20:20:09.418167,2025-11-16 20:49:04.287993,0 days 00:28:54.869826,tanh,3,0.1,5.1920732891322835e-06,0.0002537806120914923,1.7091211809798705,20,8,medium,0.002066303664531707,0.00664573896562519,8,0.9933542610343749,256,COMPLETE
26,26,-6.357092,2025-11-16 20:26:23.711756,2025-11-16 20:35:22.462786,0 days 00:08:58.751030,tanh,4,0.1,0.0001247599429565998,0.0003354461539743505,1.7020315135727955,10,11,medium,0.0038364727010124183,0.009059483190538275,16,0.9909405168094617,2048,COMPLETE
27,27,25.3644402,2025-11-16 20:29:35.227678,2025-11-16 21:28:12.055490,0 days 00:58:36.827812,tanh,2,0.1,1.1967956814337196e-07,0.0005349029153894449,0.3623732036417651,20,7,medium,0.030261679322410123,0.013301146030517845,4,0.9866988539694822,128,COMPLETE
28,28,-8.9815606,2025-11-16 20:33:26.980807,2025-11-16 20:48:31.229622,0 days 00:15:04.248815,tanh,2,0.1,8.561113993723381e-07,0.00020252070530807622,0.7906877825282194,5,7,medium,0.0011396794954387946,0.020111429678025965,4,0.9798885703219741,128,PRUNED
29,29,-47.0593728,2025-11-16 20:35:22.464225,2025-11-16 21:04:16.920269,0 days 00:28:54.456044,tanh,3,0.1,2.3878747321281166e-05,0.00016432582695614947,1.948411731809058,20,8,medium,0.00011138925317824283,0.0007806175107899252,8,0.99921938248921,256,PRUNED
30,30,-9.076359,2025-11-16 20:48:31.230663,2025-11-16 21:04:55.628241,0 days 00:16:24.397578,tanh,4,0.1,0.00010233052230412957,0.00029401800755734066,1.9216781460848695,20,5,medium,0.0005995609139683197,0.002003255542822511,16,0.9979967444571775,32,PRUNED
31,31,-7.407179600000001,2025-11-16 20:49:04.289133,2025-11-16 20:52:51.290275,0 days 00:03:47.001142,tanh,7,0.1,4.600802555979009e-05,0.0007038813114875876,1.9474589302354748,20,11,small,0.000363406929547413,0.009485353750994909,128,0.9905146462490051,2048,PRUNED
32,32,-2.724081,2025-11-16 20:52:51.291009,2025-11-16 21:09:28.279974,0 days 00:16:36.988965,tanh,4,0.1,1.158738809149258e-06,0.0004474650159025045,0.6613735429742329,20,10,medium,0.002568181684895296,0.011830061888906087,16,0.9881699381110939,1024,COMPLETE
33,33,-4.4713142,2025-11-16 21:04:16.921356,2025-11-16 21:08:26.866265,0 days 00:04:09.944909,tanh,5,0.2,0.0016531126233574928,0.000383365373402727,1.7195285620468148,5,9,medium,0.0001910608304546035,0.004567080780898667,32,0.9954329192191014,512,COMPLETE
34,34,-6.0322544,2025-11-16 21:04:55.628927,2025-11-16 21:25:38.559793,0 days 00:20:42.930866,relu,4,0.3,5.947395804064409e-07,0.00011643753319345913,1.8359767507323121,20,12,medium,0.002473312860674501,0.022351429678247194,16,0.9776485703217528,4096,COMPLETE
35,35,-16.685152,2025-11-16 21:08:26.867077,2025-11-16 21:11:10.728005,0 days 00:02:43.860928,tanh,7,0.1,4.2486924467223366e-06,0.00024227912814379313,0.9391080638259806,5,6,tiny,0.03547136299272606,0.009617880106170412,128,0.9903821198938296,64,PRUNED
36,36,-186.53133419999997,2025-11-16 21:09:28.280999,2025-11-16 21:12:13.553151,0 days 00:02:45.272152,tanh,8,0.2,3.4918779895836972e-06,0.00031019848806655806,0.9989955409654764,1,6,medium,0.010753249539211855,0.0025366498252719096,256,0.9974633501747281,64,PRUNED
37,37,-9.048041999999999,2025-11-16 21:11:10.729087,2025-11-16 21:14:37.189459,0 days 00:03:26.460372,tanh,7,0.2,1.04419430236987e-05,0.00016968688242115552,0.9241763511088381,10,10,medium,0.026951872647390428,0.002378993035223131,128,0.9976210069647768,1024,PRUNED
38,38,-115.387595,2025-11-16 21:12:13.554127,2025-11-16 21:28:46.350998,0 days 00:16:32.796871,tanh,4,0.4,2.7729637885554296e-05,0.0009075422553847319,1.9626316605878427,20,10,medium,0.0003579460907473429,0.004578174790905244,16,0.9954218252090947,1024,PRUNED
39,39,-3.4331714000000004,2025-11-16 21:14:37.190141,2025-11-16 21:30:45.680212,0 days 00:16:08.490071,tanh,4,0.3,0.016799889402545516,0.00043594298411315537,1.830506419952909,20,9,medium,0.000219949731048631,0.0016802092908904025,16,0.9983197907091096,512,COMPLETE
40,40,-7.6791296,2025-11-16 21:25:38.560919,2025-11-16 21:35:30.966362,0 days 00:09:52.405443,relu,4,0.1,0.015095395525101224,0.0003267606587681813,1.9536305202157345,20,10,tiny,0.0002220803928067892,0.003872391431811265,16,0.9961276085681887,1024,PRUNED
41,41,-1.3258520000000005,2025-11-16 21:28:12.056386,2025-11-16 22:45:35.637519,0 days 01:17:23.581133,relu,2,0.1,3.089173163026572e-06,0.0005951045577663564,0.608490128654076,20,7,medium,0.0264282035618279,0.016739355980835542,4,0.9832606440191645,128,COMPLETE
42,42,5.7383936,2025-11-16 21:28:46.351634,2025-11-16 22:41:19.112650,0 days 01:12:32.761016,relu,2,0.1,1.1737980028136973e-08,0.0003731304806543354,0.41940229915726296,20,7,medium,0.044132073659998286,0.006004639758028889,4,0.9939953602419711,128,COMPLETE
43,43,-84.580747,2025-11-16 21:30:45.681280,2025-11-16 22:06:29.722357,0 days 00:35:44.041077,tanh,2,0.2,6.388584346975718e-07,0.0005984372306558432,0.44839450422948685,20,6,small,0.06618361299947981,0.021226609773045725,4,0.9787733902269543,64,PRUNED
44,44,-128.8907596,2025-11-16 21:35:30.967024,2025-11-16 21:59:28.876744,0 days 00:23:57.909720,tanh,3,0.3,7.674826060967259e-07,0.0009249145406253402,0.6211773443471318,20,5,medium,0.008577264024302485,0.0053618977732316445,8,0.9946381022267684,32,PRUNED
45,45,18.1515626,2025-11-16 21:59:28.877697,2025-11-16 22:18:32.909475,0 days 00:19:04.031778,relu,3,0.1,1.7134566013159578e-08,0.00016304126372528258,1.006586737843525,20,9,small,0.005351244177095611,0.021258655602026735,8,0.9787413443979732,512,COMPLETE
46,46,20.006784,2025-11-16 22:06:29.723360,2025-11-16 22:19:01.774244,0 days 00:12:32.050884,tanh,4,0.1,2.9396164043433424e-08,0.000644596867726665,0.4453536501140352,20,8,medium,0.05495975882871236,0.02883723127728962,16,0.9711627687227103,256,COMPLETE
47,47,22.5338528,2025-11-16 22:18:32.910646,2025-11-16 22:25:01.056010,0 days 00:06:28.145364,relu,5,0.1,2.449081317597408e-07,0.0006454990040584116,0.9335307626594076,20,8,small,0.00985529807892731,0.016216715460610827,32,0.9837832845393891,256,COMPLETE
48,48,-2.4463293999999993,2025-11-16 22:19:01.775371,2025-11-16 22:24:55.395531,0 days 00:05:53.620160,relu,3,0.1,3.983524225614532e-08,0.00015673151498257017,0.9505380208347091,5,9,small,0.006306956268847424,0.019432721741713045,8,0.9805672782582869,512,COMPLETE
49,49,5.8768654,2025-11-16 22:24:55.396473,2025-11-16 22:46:08.148356,0 days 00:21:12.751883,tanh,2,0.1,3.727383550867516e-07,0.00012706522384360198,0.6583059661242814,20,7,medium,0.042702488868687744,0.02762179322900237,4,0.9723782067709976,128,COMPLETE
