,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size_pow,params_clip_range,params_ent_coef,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps_pow,params_net_arch,params_one_minus_gae_lambda,params_one_minus_gamma,user_attrs_batch_size,user_attrs_gamma,user_attrs_n_steps,state
0,0,-18.429893999999997,2025-11-16 19:20:08.001019,2025-11-16 19:27:33.205428,0 days 00:07:25.204409,tanh,6,0.1,2.25056710568558e-05,5.0874723391595514e-05,1.3933754610299158,20,6,medium,0.018517670552483715,0.0020582003757477632,64,0.9979417996242522,64,COMPLETE
1,1,-5.809535800000001,2025-11-16 19:20:08.003043,2025-11-16 19:23:39.910536,0 days 00:03:31.907493,tanh,7,0.2,0.001193307636078696,0.0011611776139382561,0.9627641816259351,5,6,small,0.00041533407165160604,0.00028336680929380613,128,0.9997166331907061,64,COMPLETE
2,2,-73.41790840000002,2025-11-16 19:20:08.004384,2025-11-16 19:24:48.341018,0 days 00:04:40.336634,relu,7,0.3,8.992116226816531e-06,1.4572545218375966e-05,1.3031713469359347,20,7,small,0.020996043194571254,0.019569962795752707,128,0.9804300372042473,128,COMPLETE
3,3,-8.5618098,2025-11-16 19:20:08.011904,2025-11-16 19:23:22.357726,0 days 00:03:14.345822,relu,8,0.3,2.9563022795637723e-08,0.00042280488685850974,0.8289772781245555,10,12,small,0.003217769638453642,0.0006963647483963812,256,0.9993036352516036,4096,COMPLETE
4,4,-189.3891568,2025-11-16 19:23:22.358437,2025-11-16 19:25:43.328427,0 days 00:02:20.969990,tanh,8,0.2,1.5034525652872054e-08,0.00034353452421253275,0.4985894169794084,1,12,tiny,0.01741356088203034,0.008735248272458262,256,0.9912647517275417,4096,COMPLETE
5,5,-17.9191868,2025-11-16 19:23:39.912012,2025-11-16 19:28:12.742732,0 days 00:04:32.830720,relu,7,0.2,2.786539814140086e-06,3.177805622507467e-05,1.8312006686882445,20,9,small,0.014454870748063533,0.0004694075944178384,128,0.9995305924055822,512,COMPLETE
6,6,-14.291742399999999,2025-11-16 19:24:48.342172,2025-11-16 19:28:45.054495,0 days 00:03:56.712323,tanh,10,0.3,0.0001593603286809049,0.00026251751688618265,1.1367924355004444,20,7,tiny,0.00017566006812826194,0.0008546774416571896,1024,0.9991453225583428,128,COMPLETE
7,7,-297.5020426,2025-11-16 19:25:43.329196,2025-11-16 19:28:01.061871,0 days 00:02:17.732675,relu,10,0.1,0.028171075568737474,1.116597839727812e-05,0.35095311574594273,5,9,tiny,0.0011443477351060305,0.00011314116666066427,1024,0.9998868588333394,512,COMPLETE
8,8,-117.8503322,2025-11-16 19:27:33.206492,2025-11-16 19:30:27.482948,0 days 00:02:54.276456,relu,9,0.3,0.07871695024842856,0.00018117491159022324,1.0456314719211617,1,9,medium,0.00020480106101682794,0.00044266996698359414,512,0.9995573300330164,512,COMPLETE
9,9,-201.04379740000002,2025-11-16 19:28:01.062565,2025-11-16 19:31:38.785092,0 days 00:03:37.722527,tanh,10,0.4,9.378731845186186e-05,2.0546538123508237e-05,0.540461298286848,20,9,medium,0.0004801004168263542,0.0003108355313899119,1024,0.9996891644686101,512,PRUNED
10,10,-95.83835359999999,2025-11-16 19:28:12.743761,2025-11-16 19:31:08.576773,0 days 00:02:55.833012,relu,10,0.1,0.0033351755405295743,6.505417952139026e-05,0.3257474582410519,10,8,tiny,0.0167250077719803,0.0002881341935515916,1024,0.9997118658064484,256,COMPLETE
11,11,-21.7404744,2025-11-16 19:28:45.055151,2025-11-16 19:32:29.781430,0 days 00:03:44.726279,relu,8,0.3,0.010954846974712653,7.171783257367801e-05,1.5664966815784422,10,12,medium,0.011068787073011432,0.0022296614561666526,256,0.9977703385438333,4096,COMPLETE
12,12,-5.4282072,2025-11-16 19:30:27.484275,2025-11-16 19:34:21.177737,0 days 00:03:53.693462,tanh,6,0.4,0.005974100883998988,0.000342719596295392,1.9044181160206337,5,11,medium,0.0023139606945458435,0.0007030098816686207,64,0.9992969901183314,2048,COMPLETE
13,13,-7.144968799999999,2025-11-16 19:31:08.577557,2025-11-16 19:37:31.202029,0 days 00:06:22.624472,tanh,4,0.2,0.04616144577319007,0.0007318611755475619,0.7946172828046992,5,10,small,0.0026004433813532285,0.00024194787083096445,16,0.999758052129169,1024,COMPLETE
14,14,-9.5128674,2025-11-16 19:31:38.785654,2025-11-16 19:34:34.656785,0 days 00:02:55.871131,relu,8,0.3,2.6514970432076618e-08,0.00030635408926400786,0.6248759464398513,10,11,small,0.0002625847980557724,0.000670638462255629,256,0.9993293615377443,2048,COMPLETE
15,15,-8.628743799999999,2025-11-16 19:32:29.783019,2025-11-16 19:35:31.020786,0 days 00:03:01.237767,relu,8,0.3,1.851610932926754e-07,0.00036325452625366237,0.806374222281973,10,12,small,0.00261604720409739,0.001333861245791246,256,0.9986661387542087,4096,COMPLETE
16,16,-103.6190292,2025-11-16 19:34:21.178953,2025-11-16 19:36:58.887284,0 days 00:02:37.708331,tanh,8,0.2,0.0019441923900142756,0.00010872247069726343,1.0857719511456312,5,9,small,0.0009032237192530617,0.00029215801716065955,256,0.9997078419828394,512,PRUNED
17,17,-12.387766199999998,2025-11-16 19:34:34.657917,2025-11-16 19:38:20.890392,0 days 00:03:46.232475,tanh,6,0.1,0.016984490504697917,0.0004948260659468241,1.8049409092881479,5,10,medium,0.0005752357997234281,0.0019123407472889627,64,0.998087659252711,1024,COMPLETE
18,18,-20.864420799999998,2025-11-16 19:35:31.021575,2025-11-16 19:38:59.638460,0 days 00:03:28.616885,tanh,6,0.4,0.0036067086632823476,0.0011223036816906964,0.8717901423002551,5,6,small,0.00025668488812774433,0.0024447630787006306,64,0.9975552369212993,64,PRUNED
19,19,-5.3003518,2025-11-16 19:36:58.888314,2025-11-16 19:40:46.455553,0 days 00:03:47.567239,tanh,6,0.4,0.00043403545343650697,0.00015789515009528095,1.921328651248888,5,9,medium,0.0013361377964236489,0.0017649307006888674,64,0.9982350692993112,512,COMPLETE
20,20,0.9611654,2025-11-16 19:37:31.203167,2025-11-16 19:40:43.935348,0 days 00:03:12.732181,tanh,7,0.2,0.026490753498853385,0.0019534677540472135,1.8547454786028308,5,10,medium,0.001611200705057552,0.0017366773733765814,128,0.9982633226266234,1024,COMPLETE
21,21,-3.2593352,2025-11-16 19:38:20.891932,2025-11-16 19:41:49.598272,0 days 00:03:28.706340,tanh,8,0.4,0.0001826941556350613,0.001220852003983084,0.898894433229324,5,6,small,0.00017004133589392707,0.000680966073894975,256,0.999319033926105,64,COMPLETE
22,22,,2025-11-16 19:38:59.639313,,,tanh,4,0.4,0.008473337377329844,9.034992871449963e-05,1.5418347414483289,5,12,medium,0.0054328777716638795,0.0006307227568986298,16,0.9993692772431013,4096,RUNNING
23,23,,2025-11-16 19:40:43.936527,,,tanh,4,0.4,0.0007111165474140656,7.96291424302496e-05,1.7183719862857108,5,12,medium,0.006912276036627634,0.0017556278443263517,16,0.9982443721556736,4096,RUNNING
24,24,,2025-11-16 19:40:46.456945,,,tanh,6,0.4,0.0001465586924226237,0.0001493135748781368,1.9634240133183198,5,8,medium,0.005391230151701232,0.00029659919506845394,64,0.9997034008049316,256,RUNNING
25,25,,2025-11-16 19:41:49.599402,,,tanh,10,0.4,3.0147616967431836e-06,0.0002662251370276963,0.6304271460634678,5,5,small,0.00029540045139250624,0.0003571402326052155,1024,0.9996428597673948,32,RUNNING
